"Name","Owner","Action","Priority","Reviewed","Action Reason","Revisit At","Description","Tags","Sector","Industry","Country","Is Tech Startup Score","Tech Startup Likelihood Assessment","Is Tech Startup?","Score","VAL Priority Score","VAL Priority Reason","Comments","Website","Linkedin","Lead source","Founded","Linked Opportunities"
"MoneyyApp","Isaac KWA","approve","medium","Yes","","","MoneyyApp is a fast-growing, early-stage Fintech Platform for Creators. We are venture-funded by Quona Capital, GSF Accelerator, AngelList Quant Fund, Alternate Ventures (Singapore), EIG (Europe), and by some of the most stellar angels including Nitish Mittersain (Founder, Nazara Games), Dinesh Agarwal (Founder, IndiaMart), Amit Singhal (Partner, Fluid Ventures), Tej Kapoor (Partner, IvyCap Ventures), Gaurav Kapur (Cricket Host & Founder, Oaktree Sports - Breakfast with Champions), Roshan Abbas (Actor & Founder, Kommune India), Founders of Bharat Matrimony, MyShubhLife and U2opia Mobile","","FinTech","Technology, Information and Internet","Singapore","9","MoneyyApp is a fast-growing, early-stage Fintech Platform for Creators. They are venture-funded and provide a platform to assist creators in managing their income from various platforms. They offer features like applying for loans without collateral, selling courses, and updating creators with the latest TDS queries. They are leveraging technology to provide innovative financial solutions to creators, making them a tech startup.","Yes","4","20","- The company has shown a decrease in the number of employees over the recent period, with a negative growth rate of -7.14%, indicating a potential slowdown in operations and expansion.
- The website traffic has experienced a significant decrease, with a percentage growth rate of -68.75%, suggesting a lack of user interest and engagement.
- There is no information available about the company's LinkedIn followers, making it difficult to assess its social media presence and traction.
- While the company has raised funds in recent years, the total funds raised are not significant, with the most recent fundraising round being a Seed Round in 2022.
- The company has received some news exposure, mainly related to fundraising activities, but the frequency of mentions is not very high.
- The company does not have any patents, which could have added value and differentiation in the competitive landscape.
- The company has both a strong founder and a promising founder, which is a positive signal for potential success. However, the lack of a super founder and relevant industry experience may limit the breakthrough potential.","","moneyyapp.com","https://www.linkedin.com/company/moneyyapp","Coresignal","2022","MoneyyApp"
"OxScope","Gen Ping LIU","approve","","Yes","GK: Intersection of Web3 and AI. Likely interesting to the Web3 experts. Raised 3 seed funding rounds in last 3 years - can keep tabs on company.","","✨ The AI Data Layer For Web3 AI Applications ✨ 

0xScope is the backbone of Web3 AI, helping companies in the intersection of Web3 and AI to develop innovative solutions, powered by its proprietary, first-of-its-kind Web3 AI Data Layer.

The 0xScope Web3 AI Data Layer features an established and complete set of standards for collecting, cleaning, and managing relevant on- and off-chain data specifically adapted for Web3 AI training, powered by its proprietary Web3-centric large language model (LLM).

0xScope has created an ecosystem of AI-powered Web3 market intelligence solutions for trading portfolio growth and Web3 information. 0xScope and its ecosystem partners drive the development of Web3 AI solutions by leveraging the 0xScope Web3 AI Data Layer.

🌍 WEBSITE: https://0xscope.com/
📬 NEWSLETTER: https://0xscope.com/#newsletter
🐤 TWITTER: https://twitter.com/ScopeProtocol
💬 DISCORD: https://discord.com/invite/Aa4XgybupY
🗣️ TELEGRAM: https://t.me/scope_official

🕵🏻♂️SCOPESCAN: https://scan.0xscope.com/?ch=lk
🦾SCOPECHAT: https://https://ai.0xscope.com/home?referralCode=3910h2oW&ch=lk","","DeepTech","Data Infrastructure and Analytics","Singapore","9","0xScope is developing a proprietary Web3 AI Data Layer, creating an ecosystem of AI-powered Web3 market intelligence solutions. They are focused on leveraging technology to revolutionize the future in the intersection of Web3 and AI, showcasing innovative solutions and products. They have a clear mission and are actively involved in developing their own software products, making them a tech startup.","Yes","4","70","- The company has shown a significant increase in the number of employees over the recent period, with a growth rate of -23.53% indicating expansion and potential breakthrough signals in terms of team building and capacity.
- The company's website traffic has experienced a substantial growth rate of 181.25% over the recent period, indicating increasing interest and potential breakthrough in terms of market visibility and user engagement.
- The company has raised multiple funding rounds, with the most recent fundraising round in 2024 raising $5 million, which is a positive signal for breakthrough potential.
- The company has been featured in several news reports, highlighting key milestones such as fundraising rounds and partnerships, indicating growing recognition and potential breakthrough in terms of industry impact.
- While the company does not have any patents, the presence of a strong founder adds credibility and potential breakthrough in terms of leadership and industry expertise.
- The company's focus on the intersection of Web3 and AI, along with its innovative AI Data Layer for Web3 AI applications, positions it well for breakthrough potential in the tech industry.
- Overall, the combination of team growth, market traction, funding success, industry recognition, and strong leadership suggests a high likelihood of breakthrough signals for this tech start-up.","@[Gen Ping LIU](12)  @[Isaac KWA](43)  quite a few Web3 companies ranked up top. Any interest? (Feel free to pass if not.)","0xscope.com","https://www.linkedin.com/company/0xscope","Coresignal, Dealroom","2022","0xScope"
"Playdex","Isaac KWA","reject","","Yes","PvP game matching platform for NFT games. Poor fit","","Playdex is an online play-and-earn rental marketplace that allows gamers and guilds to rent gaming assets from NFT owners.","","Gaming","Computer Games","Singapore","9","The company description mentions that Premio is an online gaming platform that combines arcade gaming with a digital social environment. It aims to stimulate interaction and competition through PVP hyper-casual games. This indicates that the company has an innovative concept and utilizes technology to meet a marketplace need. Additionally, the website content emphasizes the goal of creating a gaming community that engages users through competition, awards tangible rewards, and cultivates long-lasting connections. Overall, the company demonstrates characteristics of a tech startup.","Yes","4","60","I would give this company a likelihood score of 60 for exhibiting breakthrough signals. The company has shown breakthrough signals in terms of the number of employees, which has been steadily increasing over the recent period, indicating growth and expansion. Additionally, the company has raised funds in a recent seed round in 2022, which is a positive sign. However, the company has not shown breakthrough signals in terms of web traffic, which has fluctuated and not shown a significant increase. There is no information available on the company's social media presence, LinkedIn followers, patents, or founder profiles. The news exposure has been moderate, with mentions of fundraising rounds and partnerships, but not at a level that would indicate a significant breakthrough. Overall, the company shows potential for growth and development, but further validation and evidence of traction are needed to confirm its breakthrough status.","","playdex.io","https://www.linkedin.com/company/officialplaydex","Coresignal","2021",""
"Rakkar","Chan Yip Pang","revisit","","Yes","SCBX funded company and has already raised US$10m. SBCX companies tend to be of not high quality. ","2024-07-30T00:00:00Z","Rakkar Digital stands as Asia's leading qualified digital asset custodian, offering unparalleled asset security to financial institutions. Fortified by our strategic backing from SCB 10X, the investment arm of the Siam Commercial Bank, Rakkar Digital helms the industry’s leading bank-calibre security measures and compliance frameworks. Founded in 2022 and belting esteemed security excellence certifications such as ISO 27001 and SOC 2 Type 1 and Type 2, Rakkar Digital remains unwavering in its mission to offer the most secure, institutional-grade custodian services across Asia.","","FinTech","Financial Services","Singapore","9","Rakkar Digital is a tech startup that provides digital asset custodian services using innovative technology. They offer enterprise-grade digital asset custody solutions with high security measures and compliance frameworks. They have developed a cloud-based platform with features like multi-layer security, MPC-CMP technology, hardware isolation, and customizable policy engine. Their mission is to revolutionize the future of digital asset custody services. They have raised seed funding and have strategic backing from SCB 10X, the investment arm of the Siam Commercial Bank, which further validates their innovative approach in the financial services industry.","Yes","4","20","- The company has shown a 5.56% employee percentage growth, indicating some level of expansion in the team size.
- The website traffic has decreased by -38.89%, which is not a positive signal for breakthrough potential.
- There is no information provided about the company's social media presence, so it is unclear if they have a significant following on platforms like LinkedIn.
- The company has raised funds in the past, with a recent fundraising round of $10 million in 2022. While this is a positive signal, more information about additional funding rounds and total funds raised would be beneficial.
- The company has received news exposure, with mentions in various reports highlighting collaborations and partnerships in the industry.
- There are no patents mentioned for the company, which could have added credibility and potential for breakthrough innovation.
- There is no information provided about the founder profile, so it is unclear if the company has a super founder, strong founder, or promising founder with relevant industry experience.","@[Benedict TAN](5) @[Chan Yip Pang](7)  is this interesting?","rakkardigital.com","https://www.linkedin.com/company/rakkar-digital","Coresignal, Dealroom","2022",""
"Avecris","Isaac KWA","reject","","Yes","Therapeutics space. Out of mandate","","At Avecris, we are developing an innovative genetic vector platform technology that will enable a new class of medicines. Our technology is: 

Universally programmable
Scalable
Redosable 
Non-integrating
Cell-type specific
Low cost","","HealthTech","Biotechnology Research","Singapore","10","The company description mentions that they are developing an innovative genetic vector platform technology, which indicates the use of technology to meet a marketplace need. The website content further elaborates on their SPRING DNA technology platform, highlighting its unique features and applications in genetic medicine. The company is focused on scientific innovation and the development of new therapies, making it highly likely to be a tech startup.","Yes","3","70","I would give this company a likelihood score of 70 to exhibit breakthrough signals. The company has shown breakthrough signals in terms of its innovative genetic vector platform technology that is universally programmable, scalable, redosable, non-integrating, cell-type specific, and low cost. This technology has the potential to enable a new class of medicines, which is a significant breakthrough in the biotechnology industry. Additionally, the company has been steadily increasing its number of employees over the past year, indicating growth and expansion. The web traffic to the company's website has also shown a significant increase over the recent period, which is a positive sign of traction and interest in the company's offerings. The company has raised funds in recent years, with multiple funding rounds and a total amount raised exceeding US $1 million, further indicating investor confidence and support. However, the company lacks a significant social media presence on platforms like LinkedIn, which could be an area for improvement to enhance visibility and reach. Overall, based on the innovative technology, employee growth, funding history, and web traffic, I believe this company has a high likelihood of exhibiting breakthrough signals.","","avecris.com","https://www.linkedin.com/company/avecris","Coresignal","2022",""
"Blockhead","Gen Ping LIU","reject","low","Yes","We generally do not invest in media startups","","We’re Blockhead — not just a term for those a step behind, but a dazzling haven for the web3-curious and blockchain-bitten. Powered by a blend of digital passion and old-fashioned journalistic gumption, we're the web3-news vanguards broadcasting from the bustling epicenter of Southeast Asia.

Ever been caught in the head-spin of blockchain's spiraling tales? We've got you, and will be your trusted guide through decentralized world, promising a tomorrow less centralized and more... well, web3. We spotlight the industry's ebb and flow, reminiscing about iconic past ICOs while making sense of today's dynamic token terrain. Regulation in crypto? A challenging dance, for sure. But we're here to analyze the steps, turns, and occasional missteps.

Asia's vibrant palette isn't just our backdrop—it's our driving force. We're here to spotlight its hustle, innovation, and occasional heartbreaks in the world of blockchain. Our promise? Coverage that's both Asia-led and globally nuanced, meticulously curating the interplay of technology, culture, and business, in web3's grand tapestry. Whether you're a crypto veteran or a newcomer intrigued by the digital horizon, Blockhead ensures you're never out of the loop.

Dive in, explore, question, and marvel—just like the decentralized web, there are no gatekeepers here.","","DeepTech","Online Audio and Video Media","Singapore","9","The company description and website content mention blockchain, web3, decentralized web, cryptocurrency, and digital assets. These are all indicators of a tech startup that utilizes technology to meet marketplace needs. The company focuses on providing news, analysis, and coverage related to the blockchain and cryptocurrency industry. They position themselves as a trusted guide and source of information in the decentralized world. The website content includes articles, analysis, and industry news about various cryptocurrencies, blockchain projects, and digital asset banking. The company's emphasis on technology, innovation, and the intersection of technology, culture, and business aligns with the characteristics of a tech startup. They are likely targeting a consumer audience interested in the blockchain and cryptocurrency space.","Yes","3","80","I would give this company a likelihood score of 80 to exhibit breakthrough signals. The company has shown breakthrough signals in terms of news exposure, as evidenced by recent reports mentioning Franklin Templeton's investment in the company. This indicates that the company is gaining attention and recognition in the industry. Additionally, the company has obtained a patent, which is a positive signal for its potential breakthrough. However, the company has not shown breakthrough signals in terms of employee growth, as there are no current job openings and the number of employees has remained constant. Furthermore, there is no information available on the founder profile, which could have provided additional insights into the company's potential for breakthrough. Overall, based on the news exposure and patent obtained, the company shows promising signs of a breakthrough.","@[Gen Ping LIU](12) @[Isaac KWA](43) quite a few Web3 companies ranked up top. Any interest? (Feel free to pass if not.)","blockhead.co","https://www.linkedin.com/company/blockheadco","Coresignal","2022",""
"BuildBear Labs","Gen Ping LIU","approve","medium","Yes","infrastructure play, will reach out","","Automate Web3 dApp production-grade testing with team staging envs, Mainnet state, Chainlink, Gelato Automation, DevTool support, privacy, and unlocked faucets.","","DeepTech","Blockchain Services","Singapore","9","The company is developing a cloud-based platform for Web3 dApp testing, showcasing innovative technology and automation capabilities. They provide services such as Testnet as a Service, Cloud-enabled Sandbox, Plugins, Scalability, Privacy, and more. The company is focused on creating a tech product rather than providing traditional consultation services.","Yes","3","60","- The company has shown a 7.14% growth in the number of employees over the recent period, indicating potential expansion and increased operational capacity.
- The company has a current job opening of 4, which suggests ongoing growth and hiring activities.
- The website traffic has shown a significant percentage growth of -28.41%, which may indicate fluctuations but not necessarily a breakthrough in user engagement.
- The company has raised a total of $1.9 million in funding through two seed rounds, with the most recent round in 2024, meeting the criteria for positive funding signals.
- The company has received news coverage for securing $1.9 million in funding, indicating external recognition and potential market interest.
- While the company does not have any patents, the focus on blockchain services may not necessarily require patent protection for breakthrough potential.
- There is no information available regarding the founder profile, which could have provided additional insights into the leadership strength and experience driving the company's growth.","","buildbear.io","https://www.linkedin.com/company/build-bear","Coresignal, Dealroom","2022","BuildBear Labs"
"ChangeX","Isaac KWA","reject","","Yes","Too early","","Founded by a group of NTU students passionate about sustainability, ChangeX seeks to ideate, develop and implement tech-based solutions for a greener future. 

- Winner, DBS Foundation-NEA Hungry for Change Challenge 2022
- Champion, AWS Build-On ASEAN 2021
- Finalist, NTU IdeasJam 2022 organised by Garage@EEE
- Finalist, CNA Green Challenge 2022

Coming soon in H2 2023: PanTree, a zero-food-waste community app.","","Sustainability","Environmental Services","Singapore","9","ChangeX is a tech startup focused on developing tech-based solutions for sustainability. They have won awards and are working on a zero-food-waste community app, showcasing their innovative use of technology to address environmental issues.","Yes","3","60","I would give this company a likelihood score of 60 to exhibit breakthrough signals. The company has shown breakthrough signals in terms of winning various competitions and challenges related to sustainability, such as the DBS Foundation-NEA Hungry for Change Challenge 2022 and being a finalist in the CNA Green Challenge 2022. These achievements indicate recognition and validation of their innovative solutions in the sustainability space. Additionally, the upcoming launch of PanTree, a zero-food-waste community app in H2 2023, shows a proactive approach towards addressing environmental issues. However, the company has not shown breakthrough signals in terms of employee growth, as there is no information available on current job openings or significant hiring trends. Furthermore, there is no information available on the company's LinkedIn followers, which could have provided insights into their social media presence and traction. Overall, the company's focus on sustainability, coupled with its recognition in competitions, positions it as a promising investment target with potential for breakthrough success.","Website tagging as well as parameters like funding, news and patents are wrong
","dbs.com","https://www.linkedin.com/company/changex2023","Coresignal","2022",""
"CHOYS","Carmen Yuen","approve","medium","Yes","Reached out previously. Carmen reached out to them previously","","CHOYS is a holistic wellbeing subscription platform for organisations and employees. Headquartered in Singapore, the company is founded with a mission to provide every employee with access to benefits and impact that suit their personal needs while increasing organisational impact. 

CHOYS provides solutions that address the four pillars of well-being: physical, mental, social, and financial. This ensures we equip employees to thrive while maximizing organizational impact. CHOYS safeguards your organisation with insurance and gamified tools.

CHOYS goes beyond traditional insurance, making well-being engaging and rewarding. Our platform promotes employee well-being by providing them with financial protection, exciting challenges and rewards.

In addition, Make wellness fun and rewarding with the CHOYS app. Complete daily activities, earn CHOYSCoins and unlock rewards for yourself or a cause you care about. Choose from gifts, plant trees, or support charities – your healthy choices make a difference!","","Enterprise","Software Development","Singapore","9","CHOYS is a software platform that aims to revolutionize employee wellbeing by providing personalised benefits and engaging activities. They offer a holistic solution to enhance productivity and create a sense of belonging within organizations. Their focus on technology-driven solutions and digital platforms aligns with the characteristics of a tech startup.","Yes","3","20","- The company has shown a negative employee percentage growth of -5.26%, indicating a slight decrease in the number of employees over time, which does not signal breakthrough potential.
- The website traffic percentage growth is -88.44%, showing a significant decrease in website traffic over time, which is not a positive indicator for breakthrough potential.
- The company does not have information available regarding the number of LinkedIn followers, which limits the assessment of its social media presence.
- The company has raised funds in recent years, with the most recent fundraising round in 2023 and a total of two funding rounds, including one round over US $1 million. However, the lack of information on institutional investors hinders a complete evaluation of breakthrough potential.
- The company has received some news exposure, including mentions in reports about fundraising rounds and its platform's value proposition. While this is a positive signal, the frequency of news mentions is not high enough to indicate a significant breakthrough.
- The company does not have any patents, which could have added credibility and potential for breakthrough in the tech industry.
- There is no information available about the founder's profile, such as being a super founder, strong founder, or promising founder, which limits the assessment of breakthrough potential based on founder experience.","","getchoys.com","https://www.linkedin.com/company/getchoys","Coresignal, Dealroom","2022","Thechoys"
"Civils.ai","Benedict TAN","approve","low","Yes","GK: Maybe. ConTech x Gen AI, automate management of construction documents including info search. Don't know enough about ConTech space, regarding market size and propensity to pay. Depend on team interest.","","Have you ever struggled to find Civil Engineering knowledge and data? Civils.ai is building a solution.

As Civil Engineers, we spend countless hours searching and organising the data and information we need to make good decisions. We decided there has to be a better way.

Since launching in January 2022, we've been creating calculators and machine learning apps to help Engineers access and organise the data and knowledge they need to do their jobs - designing tomorrow's world.

Our aim is to build the best in class AI tool for Civil and Geotechnical Engineers planning and designing their projects.","","Others","Civil Engineering","Singapore","9","The company is developing AI tools for Civil and Geotechnical Engineers, creating calculators and machine learning apps to help engineers access and organize data. They aim to build the best AI tool for engineers planning and designing projects, showcasing innovative technology solutions for the industry.","Yes","3","60","- The company has shown steady employee growth over the past two years, with a slight increase in the number of employees from 3 to 6, indicating potential expansion and scalability.
- The website traffic has experienced a significant percentage growth of 168.97% over the recent period, indicating increasing interest and potential market traction.
- The company has successfully raised funds in the past two years, with two seed rounds totaling $300,000, which is a positive sign for potential growth and investor confidence.
- While the company has not been mentioned frequently in news reports, the one news mention in 2023 highlights the company's involvement in transformative AI technology for the construction industry, indicating potential innovation.
- Although the company does not have any patents, the focus on AI technology for Civil Engineering indicates a potential for future patent filings, which could enhance the company's breakthrough potential.
- The company does not have a super founder, strong founder, or promising founder, which could be a limitation in terms of leadership experience and industry relevance.
- The lack of social media presence on platforms like LinkedIn may hinder the company's visibility and reach, impacting its breakthrough potential.","@[Benedict TAN](5) is this interesting? idm meeting too.","civils.ai","https://www.linkedin.com/company/civils-ai","Coresignal, Dealroom","2022","Civils.ai"
"Dozer","Gen Ping LIU","approve","high","Yes","Gen Ping and Abhijit have assessed before, have put status as on hold.","","Dozer is an open source real time data integration platform. Unify data across silos and serve real-time data to your data products, dashboards and GPTs.","","Data Infrastructure and Analytics","Data Infrastructure and Analytics","Singapore","9","Dozer is an open source real-time data integration platform that unifies data across silos and serves real-time data to data products, dashboards, and GPTs. It simplifies teamwork with Git and does not require data engineering experts. It offers instant real-time connectors, SQL transformations, and the ability to leverage LLMs and RAG with data. Dozer also allows users to build and publish data APIs, offers a developer-first approach, and supports power AI experiences. It can work with both batch and real-time data, and users can publish queries as APIs. The platform is best suited for companies looking to refactor their existing stack for real-time needs with simplicity, cost-efficiency, and performance in mind, especially for real-time and customer-facing experiences where speed and latency matter. Dozer is developer-friendly, integrates well with Git, and is built in Rust end-to-end for efficiency, utilizing Clickhouse as the underlying OLAP store.","Yes","3","60","- The company has shown a decrease in the number of employees over the recent period, with a percentage growth of -16.67%, indicating a potential lack of breakthrough in terms of employee growth.
- The website traffic has shown a significant percentage growth of 63.64% over the recent period, suggesting a potential breakthrough in terms of online presence and user interest.
- There is no information provided about the company's LinkedIn followers, so it is unclear if there is a significant social media presence.
- The company has raised funds in the past, with the most recent fundraising round in 2022, which is viewed positively. However, the total funds raised are not specified.
- The company has been mentioned in news reports for reaching fundraising milestones, indicating potential breakthrough visibility.
- There are no patents mentioned for the company, which could be a potential area for improvement in terms of breakthrough innovation.
- The company is noted to have a promising founder, which is a positive signal for potential breakthrough success.","will revisit","getdozer.io","https://www.linkedin.com/company/getdozer","Coresignal, Dealroom","2022","Dozer, Dozer"
"Fabrica AI","Benedict TAN","reject","medium","Yes","Not interested to meet","","Fabrica AI is creating a future where ideating and developing a robot for any task takes days, not years. We believe that by training end to end controls in simulation with reinforcement learning and above that iterating hardware designs, we can automate the whole development process. 

To validate our approaches for our AI system and to collect data, we invented an automatic tile grouting robot that boosts productivity by up to 5x and are piloting it on construction sites in Singapore managed by Woh Hup, BHCC, Gin Chia, Soilbuild, Chan Rong Fen, and Dragages. Tile grouting is the process of filling up the gaps between tiles after the tiles have been laid. We invented a patent pending robot that is able to automatically grout and clean tile gaps with only a press of a button. 

We’ve raised over 2.3m USD from Hoxton Ventures, Credo Ventures, our Professor from Cambridge, and the owner of BHCC (listed construction company). We’ve 2500sqft of space in Singapore where we have over 20 team members, and 400sqft of space in Czechia where we have our software team.","","DeepTech","Construction","Singapore","9","Fabrica AI is developing innovative technology to automate the development process of robots, specifically focusing on a tile grouting robot. They have raised significant funding from reputable investors and are piloting their technology on construction sites. Their approach of training end-to-end controls in simulation with reinforcement learning showcases their tech-focused approach to solving a specific problem in the construction industry. They are actively hiring for various engineering roles, indicating a focus on technology development and innovation.","Yes","3","80","I would give Fabrica AI a likelihood score of 80 to exhibit breakthrough signals. The company has shown breakthrough signals in terms of funding, as they have raised over 2.3m USD from reputable investors like Hoxton Ventures, Credo Ventures, a Professor from Cambridge, and the owner of BHCC. They have also raised multiple funding rounds, with the most recent one being a SEED round in 2023. The total funds raised are more than US $1 million, and they have institutional investors involved. This indicates strong investor confidence in the company's potential. Additionally, Fabrica AI has developed a patent-pending robot for tile grouting, showcasing innovation in their technology. They have also piloted this robot on construction sites in Singapore, demonstrating real-world application and market validation. However, the company has not shown breakthrough signals in terms of web traffic, as the website traffic has not shown a significant increase over the recent period. The number of employees has shown some growth, but not a significant increase to indicate a breakthrough solely based on this criterion.","@[Benedict TAN](5) has met in 2021, see if keen to relook.","fabrica.ai","https://www.linkedin.com/company/fabrica-ai","Coresignal","2022",""
"Gtstechlabs","Grace Kong","reject","","Yes","More of IT / telecom consulting services","","GTS Techlabs is engaged in the design and development of innovative Telecom and Communication products and platforms to create differentiated customer communication experiences. Our roots are deep in voice & messaging solutions with attention to regulatory compliance and security vulnerabilities. Our international experience in the development of trusted telecom products and solutions as well as efficient service delivery expertise makes us a preferable choice for our clients. 
GTS Techlabs holds essential technology, tools, platforms, and resources to deep dive into the large data pool and derives meaningful information necessary for enterprises to strategize their marketing and Customer Service plans. For the Telcos, GTS Techlabs has restructured the existing fraud management system and upgraded the entire platform by adding AI/ML engines for data modeling and prediction of fraudulent attempts and protecting them from breaches.","","Enterprise","Telecommunications","Singapore","9","GTS Techlabs is engaged in the design and development of innovative Telecom and Communication products and platforms, leveraging AI/ML engines for data modeling and prediction. They provide solutions for telecom industry fraud management and revenue reconciliation, showcasing a focus on technology-driven products and services.","Yes","3","60","- The company has shown a significant increase in website traffic over the recent period, with a 35.0% growth in traffic, indicating potential breakthrough signals in terms of market interest and visibility.
- The company has a decent social media presence with 2193 followers on LinkedIn, suggesting a growing traction and potential breakthrough.
- The company has been mentioned in news reports, indicating some level of exposure and potential breakthrough.
- Although the company has not raised funds in recent years, the combination of increased website traffic, social media presence, and news exposure suggests potential breakthrough signals.
- The company does not have any patents, which could have further strengthened its breakthrough potential.
- There is no information available about the founder profile, which could have provided additional insights into the company's potential for breakthrough.
- The lack of information on current job openings and employee growth hinders a complete assessment of the company's breakthrough potential in terms of team expansion and development.","","gtstechlabs.com","https://www.linkedin.com/company/gts-techlabs","Coresignal","2022",""
"Ivitech","Chan Yip Pang","revisit","","Yes","Russian founders that were relocated to Singapore not long ago. To monitor","2024-07-30T00:00:00Z","We support the growth of unbankable SME & gig workers.

IVITECH is a mobility fintech company, providing revenue-based vehicle financing to mobility entrepreneurs. We facilitate vehicle ownership across South East Asia, India and LatAm. 

We provide an alternative credit scoring method tailored for ride-hailing, logistics, last-mile/instant delivery platforms based on business metrics. We help entrepreneurs run their businesses easier!","","FinTech","Financial Services","Singapore","9","IVITECH is a mobility FinTech startup that provides access to vehicles and innovative solutions for mobility entrepreneurs across Asia, CIS countries, and beyond. Their technologies focus on non-classical industries that do not fit into traditional bank risk scoring categories, such as taxi, agribusiness, trunk logistics, and marketplace sellers. They use AI algorithms and data sources specific to each industry to provide financing solutions for rapid growth. IVITECH's focus on innovative technology and disrupting traditional financing methods aligns with the characteristics of a tech startup.","Yes","3","40","- The company has shown a 25.0% growth in the number of employees over the recent period, indicating potential expansion and increased operational capacity.
- The website traffic has experienced a significant growth of 210.0%, suggesting increasing interest and potential customer engagement.
- The company has raised funds in recent years, with two funding rounds in 2023, including an unspecified round raising $20,000, which indicates investor confidence and financial support.
- The company has been mentioned in news reports for attracting investments from Kirov Group Ventures, indicating recognition and potential growth.
- The company does not have any patents, which could be a limitation in terms of technological innovation and competitive advantage.
- There is no information available about the founder profile, which could be a crucial factor in determining the company's potential for breakthrough success.
- The lack of information on social media presence and current job openings limits the assessment of the company's market visibility and growth potential.","","ivitech-finance.com","https://www.linkedin.com/company/ivitech-finance","Coresignal, Dealroom","2022",""
"Kempus","Isaac KWA","reject","low","Yes","Weak value proposition","","Kempus is an online community for verified students to anonymously connect and share reviews on their university experience and early career development—without fear of doxxing or reprisal.","","Others","Technology, Information and Internet","Singapore","8","The company description mentions that Kempus is an online community that allows verified students to connect and share reviews on their university experience and early career development. This indicates that Kempus is utilizing technology to create a platform for students to interact and share information. The website content also emphasizes the features of the platform, such as stimulating discussions, candid reviews, and engaging polls. These features suggest that Kempus is leveraging technology to facilitate communication and information sharing among students. However, without further information about the specific technological innovations or solutions employed by Kempus, it is difficult to assign a higher score. Therefore, I rate the likelihood of Kempus being a tech startup as 8 out of 10.","Yes","3","70","I would give Kempus a likelihood score of 70 for exhibiting breakthrough signals. The company has shown significant growth in the number of employees over the past year, starting with 8 employees in February 2023 and reaching 11 employees by February 2024. This indicates a positive trajectory and potential scalability. However, there are currently no job openings, which could be a sign of stability or a need to optimize the current team's efficiency. In terms of web traffic, Kempus has experienced a substantial increase, with website traffic growing from 560 in February 2023 to 810 in February 2024. This growth suggests increasing user interest and engagement. While there is no information available on the company's LinkedIn followers, Kempus has raised funds through a seed round in 2023, which is a positive sign for potential breakthrough. The company has also garnered significant news exposure, with mentions in various publications highlighting partnerships, product launches, and community initiatives. Although Kempus does not have any patents or a recognized super, strong, or promising founder, the overall growth trajectory, funding, and media presence indicate a promising future for the company.","","kempus.com","https://www.linkedin.com/company/kempus-dot-com","Coresignal","2022",""
"Koinbasket","Gen Ping LIU","hold","","Yes","Generally a good catch, however its thesis is old and we are trying to avoid crypto trading","2025-12-26T00:00:00Z","Binance users on Koinbasket get free portfolio health, good/bad crypto ratings, combine buy sell in single order, avoid blind trades with live P&L tracking","","FinTech","Technology, Information and Internet","Singapore","9","The company is developing a cloud-based platform that offers innovative solutions for crypto trading. They provide portfolio health checks, good/bad crypto ratings, and combine buy/sell orders in a single platform. They also offer live P&L tracking and aim to revolutionize the future of trading. The platform is user-friendly, secure, and offers rewards for users. They have a large user base and positive user testimonials. Overall, the company is focused on using technology to create innovative solutions in the crypto trading space, making it a tech startup.","Yes","3","20","- The company has shown a slight increase in the number of employees over time, with a growth rate of 5.26%. While this indicates some level of expansion, the current job openings are none, which may suggest limited immediate growth prospects in terms of hiring new talent.
- The website traffic has shown a significant decrease in percentage growth (-60.38%) over the recent period. This decline in web traffic may indicate a lack of user interest or engagement, which could hinder the company's potential for breakthrough.
- There is no information provided about the company's LinkedIn followers, making it difficult to assess the company's social media presence and traction.
- The company has raised funds in a single round in 2022, which may indicate some level of investor interest. However, the lack of multiple funding rounds, total funds raised over $1 million, and institutional investors may suggest limited breakthrough potential.
- The company has received news coverage, including mentions of fundraising rounds and global expansion. While this indicates some level of visibility, the frequency of news mentions is not extensive, which may limit the company's breakthrough potential.
- The company has not obtained any patents, which could be a disadvantage in terms of protecting intellectual property and demonstrating innovation.
- The company has a strong founder, which is a positive signal for potential breakthrough. However, the absence of a super founder or promising founder may limit the overall likelihood of a significant breakthrough.","@[Gen Ping LIU](12) ","koinbasket.com","https://www.linkedin.com/company/koinbasket","Coresignal, Dealroom","2022",""
